Notes,State,State Code,Year,Year Code,Gender,Gender Code,Deaths,Population,Crude Rate
Total,Hawaii,15,,,,,1322,11354682,11.6
,Idaho,16,2013,2013,Female,F,46,805052,5.7
,Idaho,16,2013,2013,Male,M,49,807084,6.1
Total,Idaho,16,2013,2013,,,95,1612136,5.9
,Idaho,16,2014,2014,Female,F,54,815968,6.6
,Idaho,16,2014,2014,Male,M,48,818496,5.9
Total,Idaho,16,2014,2014,,,102,1634464,6.2
,Idaho,16,2015,2015,Female,F,49,826183,5.9
,Idaho,16,2015,2015,Male,M,72,828747,8.7
Total,Idaho,16,2015,2015,,,121,1654930,7.3
,Idaho,16,2016,2016,Female,F,52,839608,6.2
,Idaho,16,2016,2016,Male,M,104,843532,12.3
Total,Idaho,16,2016,2016,,,156,1683140,9.3
,Idaho,16,2017,2017,Female,F,57,856485,6.7
,Idaho,16,2017,2017,Male,M,77,860458,8.9
Total,Idaho,16,2017,2017,,,134,1716943,7.8
,Idaho,16,2018,2018,Female,F,58,875131,6.6
,Idaho,16,2018,2018,Male,M,110,879077,12.5
Total,Idaho,16,2018,2018,,,168,1754208,9.6
,Idaho,16,2019,2019,Female,F,81,891137,9.1
,Idaho,16,2019,2019,Male,M,115,895928,12.8
Total,Idaho,16,2019,2019,,,196,1787065,11
,Idaho,16,2020,2020,Female,F,81,910789,8.9
,Idaho,16,2020,2020,Male,M,133,916124,14.5
Total,Idaho,16,2020,2020,,,214,1826913,11.7
Total,Idaho,16,,,,,1186,13669799,8.7
,Illinois,17,2013,2013,Female,F,332,6555652,5.1
,Illinois,17,2013,2013,Male,M,861,6326483,13.6
Total,Illinois,17,2013,2013,,,1193,12882135,9.3
,Illinois,17,2014,2014,Female,F,422,6559694,6.4
,Illinois,17,2014,2014,Male,M,914,6320886,14.5
Total,Illinois,17,2014,2014,,,1336,12880580,10.4
,Illinois,17,2015,2015,Female,F,478,6545500,7.3
,Illinois,17,2015,2015,Male,M,1045,6314495,16.5
Total,Illinois,17,2015,2015,,,1523,12859995,11.8
,Illinois,17,2016,2016,Female,F,589,6509748,9
,Illinois,17,2016,2016,Male,M,1535,6291791,24.4
Total,Illinois,17,2016,2016,,,2124,12801539,16.6
,Illinois,17,2017,2017,Female,F,694,6509545,10.7
,Illinois,17,2017,2017,Male,M,1745,6292478,27.7
Total,Illinois,17,2017,2017,,,2439,12802023,19.1
,Illinois,17,2018,2018,Female,F,696,6480179,10.7
,Illinois,17,2018,2018,Male,M,1754,6260901,28
Total,Illinois,17,2018,2018,,,2450,12741080,19.2
,Illinois,17,2019,2019,Female,F,697,6445263,10.8
,Illinois,17,2019,2019,Male,M,1815,6226558,29.1
Total,Illinois,17,2019,2019,,,2512,12671821,19.8
,Illinois,17,2020,2020,Female,F,854,6402224,13.3
,Illinois,17,2020,2020,Male,M,2432,6185306,39.3
Total,Illinois,17,2020,2020,,,3286,12587530,26.1
Total,Illinois,17,,,,,16863,102226703,16.5
,Indiana,18,2013,2013,Female,F,116,3334634,3.5
,Indiana,18,2013,2013,Male,M,274,3236268,8.5
Total,Indiana,18,2013,2013,,,390,6570902,5.9
